word,label
Good day,DATE
Apple,ORG
Third Quarter Fiscal Year 2018,DATE
Today,DATE
Nancy Paxton,PERSON
Nancy Paxton,PERSON
Apple,ORG
afternoon,TIME
first,ORDINAL
today,DATE
Apple,ORG
Tim Cook,PERSON
Luca Maestri,PERSON
today,DATE
Apple,ORG
SEC,ORG
today,DATE
the associated press release,ORG
Apple,ORG
Tim,PERSON
Timothy Donald Cook,PERSON
Apple,ORG
Nancy,PERSON
Today,DATE
June quarter,DATE
iPhone,PRODUCT
wearables,NORP
$53.3 billion,MONEY
Q3,CARDINAL
17%,PERCENT
last year's,DATE
our seventh consecutive quarter,DATE
our fourth consecutive quarter,DATE
the past 11 quarters,DATE
Q3,ORDINAL
2.34,MONEY
40%,PERCENT
last year,DATE
First,ORDINAL
iPhone,PRODUCT
a very strong quarter,DATE
20%,PERCENT
first,ORDINAL
iPhone X,PRODUCT
iPhone,PRODUCT
the quarter,DATE
98%,PERCENT
451,CARDINAL
iPhone,PRODUCT
China,COUNTRY
Canada,COUNTRY
Germany,COUNTRY
Australia,COUNTRY
Russia,COUNTRY
Mexico,COUNTRY
Middle East,COUNTRY
Africa,COUNTRY
Second,ORDINAL
a stellar quarter,DATE
$9.5 billion,MONEY
fiscal 2016,DATE
2020,DATE
Apple,ORG
third,ORDINAL
$300 million,MONEY
more than 60%,PERCENT
the past year,DATE
"almost 30,000",CARDINAL
App Store,PRODUCT
today,DATE
App Store,PRODUCT
10 years old,DATE
this month,DATE
June quarter,DATE
App Store,PRODUCT
App Store,PRODUCT
third,ORDINAL
App Store,PRODUCT
Google,ORG
2018,DATE
App Store,PRODUCT
tens of millions,MONEY
over $100 billion,MONEY
App Store,PRODUCT
App Store,PRODUCT
earlier this month,DATE
Japan,COUNTRY
South Korea,COUNTRY
France,COUNTRY
Germany,COUNTRY
Italy,COUNTRY
Spain,COUNTRY
Apple Music,PRODUCT
over 50%,PERCENT
AppleCare,PRODUCT
18 quarters,DATE
over 50%,PERCENT
year-over-year,DATE
monthly,DATE
FaceTime,PRODUCT
the March to June quarters,DATE
Siri,PRODUCT
100 billion,CARDINAL
this fiscal year,DATE
Apple News,PRODUCT
year-over-year,DATE
Apple Pay,PRODUCT
1 billion,CARDINAL
last quarter,DATE
just a year ago,DATE
the March quarter,DATE
this past quarter,DATE
Apple Pay,PRODUCT
24,CARDINAL
"4,900",CARDINAL
Germany,COUNTRY
later this year,DATE
eBay,ORG
Apple Pay,PRODUCT
Apple Pay,PRODUCT
this fall,DATE
Apple Pay,PRODUCT
iPhone,PRODUCT
Apple Watch,PRODUCT
12,CARDINAL
Apple Pay,PRODUCT
millions,CARDINAL
less than eight months,DATE
third,ORDINAL
the quarter,DATE
wearables,NORP
Apple Watch,PRODUCT
AirPods,PRODUCT
60%,PERCENT
the March quarter,DATE
wearables,NORP
$10 billion,MONEY
the last four quarters,DATE
a few years,DATE
Apple Watch,PRODUCT
June quarter,DATE
40%,PERCENT
AirPods,PRODUCT
the early days,DATE
A,CARDINAL
the quarter,DATE
HomePod to three,CARDINAL
HomePod,PRODUCT
June,DATE
four,CARDINAL
iOS,PRODUCT
macOS,GPE
over 4 million,CARDINAL
iOS,PRODUCT
12,CARDINAL
Siri,PRODUCT
Siri,PRODUCT
Siri,PRODUCT
Siri,PRODUCT
iOS,PRODUCT
12,CARDINAL
up to 70%,PERCENT
up to 50%,PERCENT
iOS,PRODUCT
12,CARDINAL
iOS,PRODUCT
iPhones,PRODUCT
iPads,PRODUCT
iOS,PRODUCT
iCloud,PRODUCT
2,CARDINAL
third,ORDINAL
only one year,DATE
2,CARDINAL
iOS,PRODUCT
12,CARDINAL
Apple,ORG
2,CARDINAL
thousands,CARDINAL
App Store,PRODUCT
iPhone,PRODUCT
iPad,PRODUCT
iOS,PRODUCT
Mac,ORG
iOS,PRODUCT
iOS,PRODUCT
this fall,DATE
first,ORDINAL
Mojave,PRODUCT
next year,DATE
Mac,ORG
this fall,DATE
Mac,ORG
App Store,PRODUCT
great Mac,ORG
the 21st century,DATE
this fall,DATE
Safari,GPE
Safari,GPE
Apple Watch,PRODUCT
5,CARDINAL
Apple Watch,PRODUCT
walkie-talkie,PERSON
third,ORDINAL
Siri,PRODUCT
Apple,ORG
TV,PRODUCT
Apple,ORG
TV,PRODUCT
4,CARDINAL
last fall,DATE
Apple,ORG
TV,PRODUCT
4,CARDINAL
Later this year,DATE
Apple,ORG
TV,PRODUCT
4,CARDINAL
nearly 50 million,CARDINAL
tens of thousands,CARDINAL
TV,PRODUCT
Apple,ORG
TV,PRODUCT
4,CARDINAL
iPhone,PRODUCT
iPad,PRODUCT
Apple,ORG
TV,PRODUCT
4,CARDINAL
this fall,DATE
Apple,ORG
TV,PRODUCT
4,CARDINAL
4,CARDINAL
this fall,DATE
first,ORDINAL
China,COUNTRY
10,CARDINAL
nearly $300 million,MONEY
the next four years,DATE
China,COUNTRY
more than 1,CARDINAL
China,COUNTRY
1 million,CARDINAL
"More than 5,000",CARDINAL
more than 350,CARDINAL
the upcoming school year,DATE
app,ORG
United States,COUNTRY
this Fall,DATE
iOS,PRODUCT
Mac,ORG
hundreds of thousands,CARDINAL
Today,DATE
Apple,ORG
each quarter,DATE
June quarter,DATE
Luca,PERSON
Luca Maestri,PERSON
Apple,ORG
Tim,PERSON
June quarter,DATE
every quarter this fiscal year,DATE
quarterly,DATE
17%,PERCENT
year-over-year,DATE
40%,PERCENT
$53.3 billion,MONEY
year-over-year,DATE
June quarter,DATE
Americas,LOC
Europe,LOC
Japan,COUNTRY
Asia Pacific,LOC
15,CARDINAL
Hong Kong,COUNTRY
Russia,COUNTRY
