word,label
Amazon.com,ORG
2015,DATE
Today,DATE
Phil Hardin,PERSON
Phil Hardin,PERSON
2015,DATE
today,DATE
Brian Olsavsky,PERSON
"today, January 28, 2016",DATE
today,DATE
SEC,ORG
annual,DATE
10-K.,CARDINAL
today,DATE
the quarter,DATE
SEC,ORG
the comparable period of 2014,DATE
Brian,PERSON
Brian Olsavsky,PERSON
Phil,PERSON
our fourth quarter,DATE
74%,PERCENT
$11.9 billion,MONEY
$7.3 billion,MONEY
$1.9 billion,MONEY
$4.7 billion,MONEY
$529 million,MONEY
$2.5 billion,MONEY
$2.2 billion,MONEY
$4.6 billion,MONEY
AWS,PRODUCT
490 million,CARDINAL
483 million,CARDINAL
one year ago,DATE
22%,PERCENT
$35.7 billion,MONEY
26%,PERCENT
$1.2 billion,MONEY
year-over-year,DATE
26%,PERCENT
approximately 304 million,CARDINAL
approximately 280 million,CARDINAL
approximately 254 million,CARDINAL
the comparable prior year,DATE
51%,PERCENT
47%,PERCENT
Amazon,ORG
nearly 50%,PERCENT
Amazon,ORG
1 million,CARDINAL
$24.3 billion,MONEY
68.1%,PERCENT
70.5%,PERCENT
$9.7 billion,MONEY
27.1%,PERCENT
approximately 100,CARDINAL
year-over-year,DATE
$4.4 billion,MONEY
12.3%,PERCENT
11.3%,PERCENT
Tech,ORG
$3.2 billion,MONEY
9%,PERCENT
8.2%,PERCENT
$1.7 billion,MONEY
4.8%,PERCENT
5.1%,PERCENT
the first quarter,DATE
America,COUNTRY
Amazon,ORG
America,COUNTRY
24%,PERCENT
$21.5 billion,MONEY
11%,PERCENT
$3.9 billion,MONEY
12%,PERCENT
EGM,ORG
28%,PERCENT
$17.3 billion,MONEY
America,COUNTRY
$1 billion,MONEY
4.7%,PERCENT
$733 million,MONEY
the prior year,DATE
America,COUNTRY
$6 million,MONEY
12%,PERCENT
$11.8 billion,MONEY
$1.1 billion,MONEY
year-over-year,DATE
22%,PERCENT
3%,PERCENT
$3.3 billion,MONEY
5%,PERCENT
EGM,ORG
19%,PERCENT
$8.5 billion,MONEY
31%,PERCENT
$60 million,MONEY
$65 million,MONEY
the prior year,DATE
$47 million,MONEY
Amazon,ORG
69%,PERCENT
$2.4 billion,MONEY
Amazon,ORG
$687 million,MONEY
28.5%,PERCENT
$240 million,MONEY
the prior year,DATE
AWS,PRODUCT
$60 million,MONEY
