word,label
Good day,DATE
Apple,ORG
First Quarter Fiscal Year 2020,DATE
Today,DATE
Tejas Gala,PERSON
Tejas Gala,PERSON
afternoon,TIME
first,ORDINAL
today,DATE
Apple,ORG
Tim Cook,PERSON
Luca Maestri,PERSON
today,DATE
Apple,ORG
SEC,ORG
today,DATE
the associated press release,ORG
Apple,ORG
Tim,PERSON
Tim Cook,PERSON
Tejas,PERSON
afternoon,TIME
Apple,ORG
$91.8 billion,MONEY
the third consecutive quarter,DATE
Americas,LOC
Europe,LOC
Asia,LOC
China,COUNTRY
iPhone,PRODUCT
December quarter,DATE
8%,PERCENT
year-over-year,DATE
our fifth consecutive quarter,DATE
iPhone,PRODUCT
Wearables,NORP
1.5 billion,CARDINAL
over 100 million,CARDINAL
the last 12 months,DATE
one,CARDINAL
iPhone,PRODUCT
the December quarter,DATE
$56 billion,MONEY
8%,PERCENT
a year ago,DATE
iPhone 11,PRODUCT
iPhone 11 Pro,PRODUCT
iPhone 11 Pro,PRODUCT
iPhone 11,PRODUCT
every week,DATE
the December quarter,DATE
three,CARDINAL
three,CARDINAL
iPhones,PRODUCT
France,COUNTRY
Singapore,COUNTRY
Brazil,COUNTRY
China,COUNTRY
India,COUNTRY
Thailand,COUNTRY
Turkey,COUNTRY
iPhones,PRODUCT
the day,DATE
this month,DATE
$12.7 billion,MONEY
17%,PERCENT
last year,DATE
all five,CARDINAL
App Store,PRODUCT
December quarter,DATE
App Store,PRODUCT
AppleCare,PRODUCT
2019,DATE
a historic year,DATE
Iâd,PERSON
App Store,PRODUCT
2020,DATE
$386 million,MONEY
New Year's Day,DATE
20%,PERCENT
last year,DATE
Apple Arcade,PRODUCT
over 100,CARDINAL
Apple,ORG
every month,DATE
Apple,ORG
America,COUNTRY
Apple News,PRODUCT
over 100 million,CARDINAL
monthly,DATE
UK,GPE
Australia,COUNTRY
Canada,COUNTRY
Apple,ORG
Apple Pay,PRODUCT
year-over-year,DATE
15 billion,CARDINAL
a year,DATE
Apple Pay,PRODUCT
London,GPE
Apple Pay,PRODUCT
spring of 2020,DATE
iPhone,PRODUCT
Apple Watch,PRODUCT
Shenzhen,ORG
Guangzhou,GPE
Apple Card,PRODUCT
last month,DATE
Apple Card,PRODUCT
monthly,DATE
Apple,ORG
iPhones,PRODUCT
24 months,DATE
Wearables,NORP
another incredible quarter,DATE
150,CARDINAL
AirPods,PRODUCT
AirPods,PRODUCT
Pro,DATE
AirPods,PRODUCT
Apple Watch,PRODUCT
fiscal 2020,DATE
the quarter,DATE
over 75%,PERCENT
Apple Watch,PRODUCT
the quarter,DATE
Apple Watch,PRODUCT
AirPods,PRODUCT
Apple Watch,PRODUCT
Apple Watch,PRODUCT
AirPods,PRODUCT
Pro,DATE
Mac,ORG
iPad,PRODUCT
$7.2 billion and $6 billion,MONEY
iPad,PRODUCT
iPad,PRODUCT
Mexico,COUNTRY
India,COUNTRY
Turkey,COUNTRY
Poland,COUNTRY
Thailand,COUNTRY
Malaysia,COUNTRY
Philippines,COUNTRY
Vietnam,COUNTRY
iPad Pro,PRODUCT
iPad,PRODUCT
iPad,PRODUCT
iPad,PRODUCT
Apple,ORG
Mac,ORG
Apple,ORG
this past weekend,DATE
Logic Pro 10,DATE
Mac,ORG
This quarter,DATE
Kawasaki,GPE
Japan,COUNTRY
iPhone,PRODUCT
last year,DATE
iPhone,PRODUCT
Apple,ORG
2020,DATE
November,DATE
Today,DATE
millions,CARDINAL
"more than 5,000",CARDINAL
November,DATE
three landmark multiyear,DATE
Apple,ORG
Apple,ORG
This quarter,DATE
$2.5 billion,MONEY
two,CARDINAL
Apple,ORG
December quarter,DATE
this year,DATE
Luca,PERSON
Luca Maestri,PERSON
Tim,PERSON
afternoon,TIME
the December quarter,DATE
the quarter,DATE
$91.8 billion,MONEY
$7.5 billion,MONEY
9%,PERCENT
a year ago,DATE
$1 billion,MONEY
Canada,COUNTRY
Mexico,COUNTRY
Brazil,COUNTRY
UK,GPE
Germany,COUNTRY
France,COUNTRY
Italy,COUNTRY
Spain,COUNTRY
Poland,COUNTRY
Thailand,COUNTRY
Malaysia,COUNTRY
Vietnam,COUNTRY
$79.1 billion,MONEY
8%,PERCENT
iPhone,PRODUCT
Wearables,NORP
Apple Watch,PRODUCT
AirPods,PRODUCT
17%,PERCENT
$12.7 billion,MONEY
38.4%,PERCENT
40,CARDINAL
a negative 60,CARDINAL
34.2%,PERCENT
260,CARDINAL
64.4%,PERCENT
30,CARDINAL
the quarter,DATE
14.2%,PERCENT
16.5%,PERCENT
one,CARDINAL
230,CARDINAL
$22.2 billion,MONEY
$2.3 billion,MONEY
11%,PERCENT
last year,DATE
4.99,MONEY
19%,PERCENT
$30.5 billion,MONEY
$3.8 billion,MONEY
a year ago,DATE
iPhone,PRODUCT
$56 billion,MONEY
8%,PERCENT
year-over-year,DATE
iPhones,PRODUCT
France,COUNTRY
Spain,COUNTRY
Poland,COUNTRY
Thailand,COUNTRY
Malaysia,COUNTRY
Vietnam,COUNTRY
iPhones,PRODUCT
451,CARDINAL
iPhone,PRODUCT
98%,PERCENT
iPhone 11,PRODUCT
11 Pro,PRODUCT
11 Pro,PRODUCT
the next quarter,DATE
84%,PERCENT
iPhones,PRODUCT
$12.7 billion,MONEY
five,CARDINAL
Tim,PERSON
Apple Music,PRODUCT
App Store,PRODUCT
December quarter,DATE
App Store,PRODUCT
AppleCare,PRODUCT
fiscal year,DATE
â16,ORG
2020,DATE
the December quarter,DATE
over 480 million,CARDINAL
120 million,CARDINAL
a year ago,DATE
mark,PERSON
the March quarter,DATE
600 million,CARDINAL
the end of calendar 2020,DATE
