word,label
Good day,DATE
Apple,ORG
Fourth Quarter Fiscal Year 2017,DATE
Today,DATE
Nancy Paxton,PERSON
Nancy Paxton,PERSON
Apple,ORG
afternoon,TIME
first,ORDINAL
today,DATE
Apple,ORG
Tim Cook,PERSON
Luca Maestri,PERSON
today,DATE
Apple,ORG
SEC,ORG
today,DATE
the associated press,ORG
Apple,ORG
Tim,PERSON
Timothy D. Cook,PERSON
Apple,ORG
afternoon,TIME
fiscal 2017,DATE
Apple,ORG
United States,COUNTRY
Western Europe,COUNTRY
Japan,COUNTRY
Korea,COUNTRY
Middle East,COUNTRY
Africa,COUNTRY
Eastern Europe,COUNTRY
Asia,LOC
this year,DATE
September quarter,DATE
year-over-year,DATE
the fourth consecutive quarter,DATE
$52.6 billion,MONEY
12%,PERCENT
last year,DATE
China,COUNTRY
iPhone,PRODUCT
iPad,PRODUCT
Mac,ORG
Mac,ORG
China,COUNTRY
China,COUNTRY
40%,PERCENT
India,COUNTRY
year over year,DATE
iPad,PRODUCT
Mac,ORG
the September quarter,DATE
fourth quarter,DATE
2.07,MONEY
24%,PERCENT
a year ago,DATE
iPhone,PRODUCT
the last week and a half of September,DATE
iPhone 8,PRODUCT
iPhone 8 Plus,PRODUCT
more than 50,CARDINAL
two,CARDINAL
iPhone,PRODUCT
every week,DATE
iPhone X,PRODUCT
Australia,COUNTRY
Asia,LOC
iPhone X,PRODUCT
the next decade,DATE
Retina Display,PERSON
years,DATE
iPhone X,PRODUCT
iPhone,PRODUCT
iPhone X,PRODUCT
quarterly,DATE
$8.5 billion,MONEY
the September quarter,DATE
A few quarters ago,DATE
fiscal 2016,DATE
$24 billion,MONEY
the year 2020,DATE
fiscal 2017,DATE
$30 billion,MONEY
100,CARDINAL
our second consecutive quarter,DATE
iPad,PRODUCT
iPad,PRODUCT
iOS,PRODUCT
11,CARDINAL
iPad,PRODUCT
iOS,PRODUCT
11,CARDINAL
iOS,PRODUCT
"1,000",CARDINAL
App Store,PRODUCT
today,DATE
iOS,PRODUCT
11,CARDINAL
Mac,ORG
annual,DATE
Mac,ORG
Apple,ORG
the best September quarter,DATE
Mac,ORG
25%,PERCENT
June,DATE
Mac,ORG
September,DATE
Apple Watch,PRODUCT
over 50%,PERCENT
the third consecutive quarter,DATE
Apple Watch,PRODUCT
3,CARDINAL
six weeks ago,DATE
Apple Watch,PRODUCT
Apple Watch,PRODUCT
Apple,ORG
Apple Watch,PRODUCT
Earlier this week,DATE
4.1,CARDINAL
40 million,CARDINAL
Apple Music,PRODUCT
Apple Watch,PRODUCT
AirPods,PRODUCT
wearables,NORP
75%,PERCENT
year,DATE
year,DATE
the fourth quarter,DATE
fiscal 2017,DATE
annual,DATE
400,CARDINAL
the September quarter,DATE
Apple,ORG
4,CARDINAL
4,CARDINAL
Apple,ORG
TV,PRODUCT
app,ORG
4,CARDINAL
Apple,ORG
two weeks ago,DATE
Chicago,GPE
first,ORDINAL
Apple,ORG
Today,DATE
Apple,ORG
Apple,ORG
daily,DATE
Apple,ORG
this quarter,DATE
more than 30,CARDINAL
this summer,DATE
this academic year,DATE
millions,CARDINAL
this year,DATE
the holiday season,DATE
a sensational year,DATE
the September quarter,DATE
Luca,PERSON
Luca Maestri,PERSON
Apple,ORG
Tim,PERSON
the September quarter,DATE
a record $52.6 billion,MONEY
12%,PERCENT
last year,DATE
every quarter of fiscal 2017,DATE
this quarter,DATE
the second quarter in a row,DATE
September quarter,DATE
Americas,LOC
Europe,LOC
Asia-Pacific,LOC
Canada,COUNTRY
Germany,COUNTRY
France,COUNTRY
Italy,COUNTRY
Spain,COUNTRY
Korea,COUNTRY
China,COUNTRY
12%,PERCENT
a year ago,DATE
India,COUNTRY
year-over-year,DATE
more than 30%,PERCENT
Mexico,COUNTRY
Middle East,COUNTRY
Turkey,COUNTRY
Eastern Europe,COUNTRY
over 20%,PERCENT
37.9%,PERCENT
25%,PERCENT
$10.7 billion,MONEY
2.07,MONEY
24%,PERCENT
last year,DATE
September quarter,DATE
$15.7 billion,MONEY
the quarter,DATE
46.7 million,CARDINAL
iPhones,PRODUCT
3%,PERCENT
last year,DATE
iPhone,PRODUCT
China,COUNTRY
Middle East,COUNTRY
Eastern Europe,COUNTRY
India,COUNTRY
Mexico,COUNTRY
Canada,COUNTRY
Germany,COUNTRY
France,COUNTRY
Italy,COUNTRY
Spain,COUNTRY
Sweden,GPE
Singapore,COUNTRY
iPhone,PRODUCT
1.3 million,CARDINAL
iPhone 8,PRODUCT
the September quarter a year ago,DATE
iPhone,PRODUCT
451,CARDINAL
97%,PERCENT
iPhone,PRODUCT
the next 90 days,DATE
iPhone,PRODUCT
69%,PERCENT
more than 5,CARDINAL
iPhone,PRODUCT
95%,PERCENT
53%,PERCENT
iOS,PRODUCT
95%,PERCENT
the December quarter,DATE
80%,PERCENT
iPhone,PRODUCT
iPhone,PRODUCT
quarterly,DATE
$8.5 billion,MONEY
34%,PERCENT
year,DATE
year,DATE
one,CARDINAL
$640 million,MONEY
24%,PERCENT
this year,DATE
App Store,PRODUCT
Google,ORG
App Store,PRODUCT
iOS,PRODUCT
11,CARDINAL
Apple Music,PRODUCT
the September quarter,DATE
75%,PERCENT
year-over-year,DATE
iCloud,PRODUCT
monthly,DATE
210 million,CARDINAL
the end of September quarter,DATE
25 million,CARDINAL
the last 90 days,DATE
Apple Pay,PRODUCT
Denmark,GPE
Finland,GPE
Sweden,GPE
last month,DATE
the past year,DATE
annual,DATE
330%,PERCENT
70%,PERCENT
Apple Pay,PRODUCT
Safeway,ORG
over 5 million,CARDINAL
Apple Pay,PRODUCT
the end of this year,DATE
Mac,ORG
