word,label
Good day,DATE
Apple,ORG
Third Quarter Fiscal Year 2019,DATE
Today,DATE
Nancy Paxton,PERSON
Nancy Paxton,PERSON
afternoon,TIME
today,DATE
first,ORDINAL
Apple,ORG
Tim Cook,PERSON
Luca Maestri,PERSON
today,DATE
Apple,ORG
SEC,ORG
today,DATE
the associated press release,ORG
Apple,ORG
Tim,PERSON
Tim Cook,PERSON
Nancy,PERSON
afternoon,TIME
today,DATE
June quarter,DATE
$53.8 billion,MONEY
year-over-year,DATE
iPhone,PRODUCT
last quarter,DATE
iPad,PRODUCT
Wearables,NORP
well over 50%,PERCENT
$11.5 billion,MONEY
two,CARDINAL
last several years,DATE
50,CARDINAL
China,COUNTRY
300,CARDINAL
a year ago,DATE
about $1.5 billion,MONEY
five,CARDINAL
iPhone,PRODUCT
$26 billion,MONEY
12%,PERCENT
last year's June quarter,DATE
17%,PERCENT
year,DATE
January,DATE
iPhone,PRODUCT
the month of June,DATE
iPhone,PRODUCT
year-over-year,DATE
20,CARDINAL
iPhone,PRODUCT
iPhone,PRODUCT
17%,PERCENT
last year,DATE
$11.5 billion,MONEY
13%,PERCENT
year-over-year,DATE
$236 million,MONEY
one,CARDINAL
the June quarter last year,DATE
15% or 18%,PERCENT
AppleCare,PRODUCT
app store,PRODUCT
third quarter,DATE
app store,PRODUCT
five,CARDINAL
420 million,CARDINAL
our fiscal year '16,DATE
2020,DATE
Apple,ORG
TV,PRODUCT
over 100,CARDINAL
TV,PRODUCT
iPhone,PRODUCT
iPad,PRODUCT
Apple,ORG
TV,PRODUCT
TV,PRODUCT
Monthly,DATE
Apple,ORG
TV,PRODUCT
United States,COUNTRY
over 40%,PERCENT
year-over-year,DATE
First,ORDINAL
over 150,CARDINAL
one,CARDINAL
Second,ORDINAL
Apple,ORG
TV,PRODUCT
third,ORDINAL
third,ORDINAL
five,CARDINAL
Apple,ORG
TV,PRODUCT
Apple,ORG
TV,PRODUCT
"over 100,000",CARDINAL
TV,PRODUCT
app store,PRODUCT
later this year,DATE
Apple,ORG
Apple Pay,PRODUCT
nearly 1 billion,CARDINAL
a year ago,DATE
Apple Pay,PRODUCT
17,CARDINAL
the June quarter,DATE
47,CARDINAL
June quarter,DATE
Apple Pay,PRODUCT
monthly,DATE
4x,CARDINAL
United States,COUNTRY
Portland,GPE
New York City,GPE
Chicago,GPE
later this year,DATE
China,COUNTRY
Apple Pay,PRODUCT
Didi,ORG
thousands,CARDINAL
Apple,ORG
Apple Card,PRODUCT
every day,DATE
Apple Card,PRODUCT
August,DATE
another sensational quarter,DATE
Wearables,NORP
Apple Watch,PRODUCT
June quarter,DATE
millions,CARDINAL
Over 75%,PERCENT
Apple Watch,PRODUCT
the June quarter,DATE
first,ORDINAL
Apple Watch,PRODUCT
AirPods,PRODUCT
the last four quarters,DATE
wearables,NORP
bigger than 60%,PERCENT
iPad,PRODUCT
over $5 billion,MONEY
iPad Pro,PRODUCT
iPad,PRODUCT
iPad,PRODUCT
our third consecutive quarter,DATE
15%,PERCENT
iPad,PRODUCT
iPad,PRODUCT
iPad,PRODUCT
iPad,PRODUCT
iPad Pro,PRODUCT
Mac,ORG
MacBook Air,PRODUCT
Mac,ORG
Mac mini,PRODUCT
iMac,PRODUCT
earlier in the fiscal year,DATE
the last couple of months,DATE
999,MONEY
this fall,DATE
Apple,ORG
iOS,PRODUCT
Mac,ORG
China,COUNTRY
the first half of fiscal 2019,DATE
year-over-year,DATE
iPhone,PRODUCT
the last two quarters,DATE
Apple,ORG
App Store,PRODUCT
China,COUNTRY
Last week,DATE
Intel,ORG
second,ORDINAL
Apple,ORG
"over 17,000",CARDINAL
last month,DATE
four,CARDINAL
iPhone,PRODUCT
iOS,PRODUCT
13,CARDINAL
iOS,PRODUCT
13,CARDINAL
Apple,ORG
iPhone,PRODUCT
first,ORDINAL
iPad,PRODUCT
iOS,PRODUCT
iPad,PRODUCT
Apple Pencil,PRODUCT
iPad,PRODUCT
second,ORDINAL
Apple,ORG
TV,PRODUCT
13,CARDINAL
TV,PRODUCT
Apple Music,PRODUCT
iCloud,PRODUCT
App Store,PRODUCT
thousands,CARDINAL
6,CARDINAL
Apple Watch,PRODUCT
Apple Watch,PRODUCT
App Store,PRODUCT
Siri,PRODUCT
Apple Watch,PRODUCT
Apple Watch,PRODUCT
6,CARDINAL
the June quarter,DATE
ECG,ORDINAL
five,CARDINAL
European,NORP
Canada,COUNTRY
Singapore,COUNTRY
last week,DATE
31,CARDINAL
later this year,DATE
A,CARDINAL
macOS Catalina,GPE
iOS,PRODUCT
Mac,ORG
Thousands,CARDINAL
Mac,ORG
this fall,DATE
iOS,PRODUCT
macOS,GPE
iPadOS,PRODUCT
Apple,ORG
3,CARDINAL
thousands,CARDINAL
App Store,PRODUCT
three,CARDINAL
3,CARDINAL
tens of millions,CARDINAL
the months ahead,DATE
the next few months,DATE
Apple Arcade,PRODUCT
Apple,ORG
Apple Card,PRODUCT
today,DATE
the June quarter,DATE
Luca,PERSON
Luca Maestri,PERSON
Tim,PERSON
June quarter,DATE
$53.8 billion,MONEY
1%,PERCENT
year-over-year,DATE
year-over-year,DATE
300,CARDINAL
June quarter,DATE
Americas,LOC
Japan,COUNTRY
Asia Pacific,LOC
Tim,PERSON
$42.4 billion,MONEY
2%,PERCENT
year-over-year,DATE
8%,PERCENT
the first half of the fiscal year,DATE
iPhone,PRODUCT
20%,PERCENT
Wearables,NORP
Mac,ORG
iPad,PRODUCT
13%,PERCENT
$11.5 billion,MONEY
one,CARDINAL
a year ago,DATE
15% and 18%,PERCENT
year-over-year,DATE
the first half of this fiscal year,DATE
